SITE,SITE_CODE,LATITUDE,LONGITUDE,COUNTRY,PROVINCE_DISTRICT,RFZ,BIOME,CONTEXT,TECHNIQUE,MATERIAL,SPECIES,LAB_ID,DATE,UNCERTAINTY,ARCH_PERIOD,ARCH_SUBPERIOD,SAMPLE_CONTEXT,SITE_TYPE,DELTA_13,REFCODE,NOTES
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-6079,"480","30",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7107,"530","30",Iron Age,,,settlement,,vogel2000rds,Mutamba
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7103,"390","35",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7105,"560","35",Iron Age,,,settlement,,vogel2000rds,Mutamba
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,bone,Homo sapiens,Pta-7276,"370","40",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,bone,Homo sapiens,Pta-7243,"520","40",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7102,"590","40",Iron Age,,,settlement,,vogel2000rds,Mutamba
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7106,"820","40",Iron Age,,,settlement,,vogel2000rds,Mutamba
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-6086,"350","45",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7307,"650","45",Iron Age,,,settlement,,vogel2000rds,
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-6089,"360","50",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-5676,"370","50",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-5659,"390","50",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-5658,"420","50",Iron Age,,,settlement,,vogel2000rds,Khami
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7304,"450","50",Iron Age,,,settlement,,vogel2000rds,Mutamba
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-6824,"550","50",Iron Age,,,settlement,,vogel2000rds,
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7305,"600","50",Iron Age,,,settlement,,vogel2000rds,Mutamba
Thula Mela,TUM,-22.431,31.194,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7310,"590","60",Iron Age,,,settlement,,vogel2000rds,Mutamba
Ficus,FCS,-24.15,29.17,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Wits-781b,"1080","40",Iron Age,Early Iron Age,,settlement,,moore1981mvc,
Ficus,FCS,-24.15,29.17,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Wits-782,"1400","40",Iron Age,Early Iron Age,,settlement,,moore1981mvc,Mzonjani facies
Ficus,FCS,-24.15,29.17,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Wits-780,"390","50",Iron Age,Later Iron Age,,settlement,,moore1981mvc,Icon facies
Ficus,FCS,-24.15,29.17,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Wits-787,"460","50",Iron Age,Later Iron Age,,settlement,,moore1981mvc,Icon facies
Ficus,FCS,-24.15,29.17,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Wits-888,"1115","50",Iron Age,Early Iron Age,,settlement,,moore1981mvc,
"Waterval, Johannesburg",WTV,-26.183,28.033,South Africa,Gauteng,S,Grassland Biome,,conventional 14C,charcoal,,GrN-4797,"230","40",Iron Age,Later Iron Age,,settlement,,vogel1967grd,
Klipriviersberg,KLP,-26.183,28.033,South Africa,Gauteng,S,Grassland Biome,,Conventional 14C,charcoal,,GrN-4796,"195","45",Iron Age,,,settlement,,vogel1967grd,Group III Uitkomst facies
Klipriviersberg,KLP,-26.183,28.033,South Africa,Gauteng,S,Grassland Biome,,Conventional 14C,,,Pta-136,"227","46",,,,,,mason1986obp,Group III Uitkomst facies
Klipriviersberg,KLP,-26.183,28.033,South Africa,Gauteng,S,Grassland Biome,,Conventional 14C,charcoal,,GrN-4927,"105","50",Iron Age,,,settlement,,vogel1967grd,Group III Uitkomst facies
Klipriviersberg,KLP,-26.183,28.033,South Africa,Gauteng,S,Grassland Biome,,Conventional 14C,charcoal,,GrN-4926,"180","50",Iron Age,,,settlement,,vogel1967grd,Group III Uitkomst facies
Melville Koppies,MVK,-26.168,28.004,South Africa,Gauteng,S,Savanna Biome,Furnace,conventional 14C,charcoal,,Y-1338,"890","50",Iron Age,,furnace,settlement,,mason1964rds,
Klipriviersberg,KLP,-26.183,28.033,South Africa,Gauteng,S,Grassland Biome,,Conventional 14C,,,Wits-1322,"270","100",,,,,,mason1986obp,Group III Uitkomst facies
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 4,conventional 14C,,,Pta-2166,"350","30",Iron Age,,,settlement,,taylor1979wst,Group I Uitkomst facies
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 2,AMS,charcoal,,Beta-304272,"60","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 4,AMS,charcoal,,Beta-287474,"140","40",LSA,,,rock shelter,,witelson2016pdl,
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 5,conventional 14C,,,Pta-2170,"140","40",Iron Age,,,settlement,,taylor1979wst,Group III Uitkomst facies
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 6,conventional 14C,,,Pta-2172,"160","40",Iron Age,,,settlement,,taylor1979wst,Group III Uitkomst facies
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 7,AMS,charcoal,,Beta-265301,"190","40",LSA,,,rock shelter,,witelson2016pdl,
