"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"ade4","ade4","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7-22",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
Rcpp","Rcpp, RcppArmadillo","ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"adehabitatHR","adehabitatHR","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.21",NA,"R (>= 3.0.1), sp, methods, ade4, adehabitatMA, adehabitatLT","graphics, grDevices, stats",NA,"tkrplot, MASS, sf, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"adehabitatLT","adehabitatLT","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.27",NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"adehabitatMA","adehabitatMA","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.16",NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats",NA,"tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"airports","airports","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.0",NA,"R (>= 2.10)",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"anytime","anytime","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"archive","archive","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.8",NA,"R (>= 3.6.0)","cli, glue, rlang, tibble","cli","covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"askpass","askpass","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"assertthat","assertthat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"backports","backports","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.3"
"base64enc","base64enc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
